index,gender,car,reality,child_num,income_total,income_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month
3420,M,N,Y,1,135000.0,Working,House / apartment,-9547,-1340,0,0,0,Drivers,3.0,-33.0
3421,M,Y,N,0,270000.0,Pensioner,House / apartment,-22982,365243,0,0,0,,2.0,-40.0
3422,F,N,N,0,94500.0,Working,Rented apartment,-22265,-829,0,0,1,Sales staff,1.0,-56.0
3423,F,Y,Y,2,112500.0,Working,House / apartment,-12539,-2747,1,0,0,,4.0,-34.0
3424,F,N,Y,2,157500.0,Commercial associate,House / apartment,-13766,-73,0,0,0,High skill tech staff,4.0,-19.0
3425,F,N,Y,0,67500.0,Pensioner,House / apartment,-22116,365243,0,0,0,,1.0,-39.0
3426,F,Y,Y,0,391500.0,Working,House / apartment,-16995,-7264,0,0,0,Core staff,2.0,-42.0
3427,F,N,N,0,135000.0,Working,House / apartment,-15839,-1525,1,1,0,Sales staff,2.0,-39.0
3428,M,N,Y,0,225000.0,State servant,House / apartment,-12394,-381,0,0,0,Laborers,2.0,-18.0
3429,M,N,N,0,112500.0,Commercial associate,House / apartment,-15082,-254,0,1,0,Drivers,2.0,-15.0
3430,F,N,Y,0,112500.0,Working,House / apartment,-8213,-347,0,0,0,Sales staff,1.0,-21.0
3431,F,N,N,2,112500.0,Working,House / apartment,-15766,-1086,0,0,0,Laborers,4.0,-5.0
3432,M,Y,Y,2,225000.0,Working,House / apartment,-13456,-992,0,0,0,Drivers,4.0,-33.0
3433,F,N,Y,0,202500.0,Pensioner,House / apartment,-21824,365243,0,0,0,,1.0,-4.0
3434,F,Y,Y,1,315000.0,State servant,House / apartment,-18233,-425,0,1,1,,2.0,-51.0
3435,F,N,Y,0,121500.0,Working,House / apartment,-17432,-2417,1,1,0,,1.0,-10.0
3436,M,N,N,0,135000.0,Working,House / apartment,-14118,-3174,0,0,0,Laborers,1.0,-4.0
3437,M,Y,Y,0,270000.0,Commercial associate,House / apartment,-20703,-2239,0,0,0,Drivers,2.0,-35.0
3438,M,N,Y,0,202500.0,Working,House / apartment,-10886,-742,0,0,0,Drivers,2.0,-16.0
3439,F,N,N,0,135000.0,Working,With parents,-9632,-1943,0,0,0,,1.0,-2.0
3440,M,Y,Y,0,405000.0,Working,House / apartment,-11723,-1830,1,0,1,,2.0,-25.0
3441,F,N,N,1,112500.0,Working,House / apartment,-19931,-1313,0,0,0,,2.0,-26.0
3442,F,N,N,1,135000.0,Commercial associate,House / apartment,-14907,-2540,0,0,0,Sales staff,2.0,-40.0
3443,F,N,Y,0,202500.0,Working,House / apartment,-18858,-1974,0,0,0,Laborers,2.0,-13.0
3444,F,N,Y,0,126000.0,Working,House / apartment,-16849,-2896,0,1,0,Cooking staff,1.0,-48.0
3445,F,N,Y,2,144000.0,Commercial associate,House / apartment,-15874,-2958,1,1,0,Sales staff,4.0,-24.0
3446,F,Y,Y,2,112500.0,Working,House / apartment,-12539,-2747,1,0,0,,4.0,-35.0
3447,F,N,Y,0,225000.0,Commercial associate,House / apartment,-17031,-642,0,0,0,Core staff,1.0,-12.0
3448,M,Y,N,1,144000.0,Working,House / apartment,-12116,-196,1,1,0,Drivers,3.0,-32.0
3449,F,N,N,0,247500.0,State servant,House / apartment,-17416,-687,0,0,0,Medicine staff,2.0,-9.0
3450,M,N,Y,1,292500.0,Commercial associate,House / apartment,-14785,-3018,1,1,0,Laborers,3.0,-46.0
3451,M,Y,N,2,292500.0,Commercial associate,House / apartment,-14670,-6957,0,1,0,,4.0,-20.0
3452,F,Y,Y,0,360000.0,State servant,House / apartment,-19305,-1905,0,0,0,Core staff,1.0,-58.0
3453,M,Y,N,0,315000.0,Commercial associate,House / apartment,-13495,-259,0,0,0,Sales staff,2.0,-5.0
3454,F,Y,N,0,180000.0,Working,With parents,-12134,-200,0,1,0,,2.0,-27.0
3455,F,N,Y,1,225000.0,Commercial associate,House / apartment,-14584,-5770,0,0,0,High skill tech staff,3.0,-20.0
3456,M,N,Y,0,135000.0,Working,House / apartment,-18188,-578,0,0,0,Drivers,2.0,-5.0
3457,M,Y,Y,0,157500.0,Working,With parents,-11091,-846,0,0,0,Accountants,2.0,-14.0
3458,F,N,Y,0,216000.0,Pensioner,House / apartment,-20388,365243,0,0,0,,1.0,-2.0
3459,F,Y,Y,0,270000.0,Working,House / apartment,-16971,-375,0,0,0,,1.0,-33.0
3460,F,N,N,0,135000.0,Commercial associate,Municipal apartment,-18524,-1707,0,0,0,,2.0,-19.0
3461,F,Y,Y,1,166500.0,Working,House / apartment,-13545,-3840,0,0,1,Medicine staff,3.0,-23.0
3462,F,N,Y,1,225000.0,Working,House / apartment,-14357,-3120,1,1,0,Sales staff,3.0,-56.0
3463,F,N,Y,0,247500.0,Commercial associate,House / apartment,-21537,-13735,0,0,0,Core staff,1.0,-40.0
3464,F,N,Y,2,81000.0,Working,House / apartment,-13333,-109,0,0,0,Laborers,4.0,-8.0
3465,F,N,Y,2,135000.0,Working,House / apartment,-12903,-4439,0,0,0,Security staff,4.0,-11.0
3466,M,Y,N,0,270000.0,Commercial associate,House / apartment,-11621,-2349,0,1,0,,1.0,-17.0
3467,F,N,N,1,112500.0,Working,House / apartment,-10853,-287,0,0,1,Core staff,3.0,-22.0
3468,F,N,Y,0,225000.0,Pensioner,House / apartment,-23286,365243,0,0,0,,1.0,-21.0
3469,F,Y,Y,0,225000.0,Commercial associate,House / apartment,-10457,-979,0,0,0,,2.0,-41.0
3470,F,Y,Y,0,225000.0,Pensioner,House / apartment,-23486,365243,0,0,0,,2.0,-11.0
3471,F,N,Y,0,225000.0,Working,House / apartment,-16202,-2939,1,1,0,Managers,2.0,-15.0
3472,F,N,Y,0,112500.0,State servant,House / apartment,-21215,-808,0,0,0,Medicine staff,2.0,-28.0
3473,F,N,N,0,337500.0,Working,House / apartment,-15658,-188,1,1,1,Sales staff,1.0,-24.0
3474,F,Y,N,1,112500.0,Working,House / apartment,-10638,-993,0,0,0,Sales staff,3.0,-29.0
3475,M,Y,Y,0,90000.0,Pensioner,House / apartment,-24820,365243,0,0,1,,2.0,-35.0
3476,F,N,N,2,171000.0,Working,House / apartment,-14622,-1160,1,1,0,Core staff,4.0,-43.0
3477,F,N,N,0,202500.0,Commercial associate,Municipal apartment,-13899,-4709,0,0,0,,2.0,-46.0
3478,F,N,Y,2,54000.0,Commercial associate,House / apartment,-13091,-316,1,1,0,Sales staff,4.0,-12.0
3479,M,Y,Y,0,202500.0,Working,House / apartment,-13443,-2520,0,1,1,Managers,1.0,-54.0
3480,F,N,Y,0,135000.0,Working,House / apartment,-18199,-5190,0,0,0,Cleaning staff,2.0,-32.0
3481,F,N,Y,0,202500.0,Working,House / apartment,-19431,-6226,0,0,0,High skill tech staff,2.0,-25.0
3482,F,N,Y,0,144000.0,Pensioner,House / apartment,-22491,365243,0,0,0,,2.0,-16.0
3483,M,Y,Y,1,225000.0,Working,Municipal apartment,-12625,-1261,0,0,1,Drivers,3.0,-46.0
3484,M,N,Y,0,99000.0,Working,House / apartment,-17952,-4086,0,0,0,,1.0,-37.0
3485,M,N,N,0,270000.0,Commercial associate,With parents,-8853,-984,0,0,1,Sales staff,2.0,-12.0
3486,M,N,N,1,139500.0,Working,Rented apartment,-8682,-869,1,0,0,High skill tech staff,3.0,-2.0
3487,M,Y,N,0,234000.0,Working,House / apartment,-19378,-858,1,1,0,Laborers,2.0,-47.0
3488,F,N,Y,1,225000.0,Working,House / apartment,-13326,-3700,0,0,0,Laborers,3.0,-16.0
3489,F,Y,Y,0,463500.0,Working,House / apartment,-20848,-4090,1,1,0,Managers,2.0,-13.0
3490,F,N,Y,1,99000.0,Working,House / apartment,-16721,-8875,1,1,0,Core staff,3.0,-18.0
3491,M,Y,N,0,180000.0,Commercial associate,Municipal apartment,-9810,-2993,1,0,0,,2.0,-21.0
3492,F,Y,Y,0,270000.0,Pensioner,House / apartment,-18933,365243,0,1,0,,2.0,-3.0
3493,F,Y,Y,0,166500.0,Working,House / apartment,-14649,-3141,0,0,0,Sales staff,2.0,-40.0
3494,F,N,Y,0,90000.0,Working,House / apartment,-16578,-7189,1,0,0,High skill tech staff,1.0,-7.0
3495,F,N,Y,0,157500.0,Commercial associate,House / apartment,-17524,-2182,1,1,0,Laborers,2.0,-30.0
3496,F,N,Y,2,270000.0,Working,House / apartment,-12927,-2078,1,1,1,Managers,4.0,-50.0
3497,M,Y,Y,0,202500.0,Working,House / apartment,-17262,-1617,0,0,0,Core staff,2.0,-24.0
3498,M,N,N,0,270000.0,Working,House / apartment,-13130,-2387,0,0,0,,2.0,-17.0
3499,F,N,Y,0,67500.0,Pensioner,House / apartment,-20268,365243,0,0,0,,2.0,-52.0
3500,F,N,Y,0,225000.0,Pensioner,House / apartment,-23286,365243,0,0,0,,1.0,-35.0
3501,F,N,Y,1,112500.0,State servant,House / apartment,-10926,-3570,0,1,0,Secretaries,3.0,-9.0
3502,F,Y,N,0,225000.0,Working,House / apartment,-14667,-798,1,0,0,Managers,2.0,-47.0
3503,M,N,Y,0,99000.0,Working,House / apartment,-17952,-4086,0,0,0,,1.0,-30.0
3504,F,N,Y,1,121500.0,Working,House / apartment,-16375,-962,0,1,0,Sales staff,3.0,-12.0
3505,F,N,N,2,225000.0,Working,With parents,-12244,-2361,0,0,0,Sales staff,4.0,-6.0
3506,M,Y,N,0,135000.0,Commercial associate,House / apartment,-10910,-2349,1,0,0,Laborers,2.0,-20.0
3507,F,N,Y,0,130500.0,Pensioner,House / apartment,-21461,365243,0,0,0,,2.0,-9.0
3508,F,N,N,0,121500.0,Working,House / apartment,-16471,-2745,0,1,0,,1.0,-27.0
3509,F,N,N,0,90000.0,Commercial associate,House / apartment,-17551,-2015,1,1,0,Laborers,2.0,-38.0
3510,M,Y,N,1,229500.0,State servant,House / apartment,-21665,-4342,0,0,0,Managers,3.0,-42.0
3511,F,N,Y,0,180000.0,Commercial associate,House / apartment,-15914,-4354,0,1,0,Sales staff,2.0,-35.0
3512,F,Y,Y,1,157500.0,Working,House / apartment,-14785,-4872,0,0,0,Managers,3.0,-24.0
3513,F,N,Y,0,135000.0,Pensioner,House / apartment,-21358,365243,0,0,0,,2.0,-51.0
3514,M,N,Y,0,90000.0,Working,House / apartment,-22009,-11083,0,0,0,Laborers,2.0,-37.0
3515,F,Y,Y,0,270000.0,Commercial associate,House / apartment,-19960,-5679,0,0,0,Accountants,2.0,-60.0
3516,M,N,N,0,180000.0,State servant,House / apartment,-14339,-316,1,0,0,Core staff,2.0,-31.0
3517,F,N,Y,1,112500.0,Working,House / apartment,-15823,-1656,0,0,0,Cleaning staff,2.0,-8.0
3518,F,N,N,0,166500.0,Working,House / apartment,-21466,-3992,0,0,0,Core staff,2.0,-14.0
3519,F,N,Y,0,157500.0,State servant,House / apartment,-20763,-11389,0,1,0,,1.0,0.0
3520,F,N,Y,0,117000.0,Pensioner,House / apartment,-18009,365243,0,0,0,,2.0,-47.0
3521,M,Y,Y,0,112500.0,Working,House / apartment,-12733,-3185,1,0,0,Drivers,2.0,-20.0
3522,F,N,Y,0,202500.0,Commercial associate,Municipal apartment,-18817,-1094,0,0,0,Laborers,2.0,-4.0
3523,M,Y,Y,0,495000.0,Working,With parents,-8917,-1101,0,0,1,Drivers,2.0,-40.0
3524,F,Y,Y,0,112500.0,Working,House / apartment,-17202,-1787,0,0,0,Sales staff,2.0,-24.0
3525,M,Y,N,0,315000.0,Commercial associate,House / apartment,-11615,-2018,0,0,0,Laborers,2.0,-30.0
3526,M,Y,Y,1,225000.0,State servant,House / apartment,-11695,-3929,1,0,0,Laborers,3.0,-23.0
3527,F,N,N,0,45000.0,Working,House / apartment,-14374,-798,0,1,0,Sales staff,1.0,-11.0
3528,F,N,Y,1,157500.0,State servant,House / apartment,-12676,-1350,0,0,0,Waiters/barmen staff,2.0,-18.0
3529,F,N,Y,0,67500.0,Pensioner,Municipal apartment,-21819,365243,0,0,0,,2.0,-17.0
3530,F,Y,Y,0,360000.0,Working,House / apartment,-17763,-2493,0,1,0,,2.0,-11.0
3531,M,Y,Y,2,171000.0,Working,House / apartment,-13344,-1230,0,0,0,Core staff,4.0,-21.0
3532,F,N,Y,0,135000.0,Pensioner,House / apartment,-21613,365243,0,0,0,,1.0,-43.0
3533,M,N,Y,1,225000.0,Working,House / apartment,-13198,-3690,0,0,0,Core staff,3.0,-7.0
3534,F,N,N,0,135000.0,Commercial associate,House / apartment,-18473,-2531,0,1,0,Cooking staff,1.0,-21.0
3535,M,Y,Y,1,189000.0,Working,House / apartment,-13317,-3663,0,0,0,High skill tech staff,3.0,-17.0
3536,F,N,Y,0,112500.0,Working,House / apartment,-16573,-4574,0,0,0,,2.0,-19.0
3537,F,N,Y,0,178200.0,Commercial associate,House / apartment,-13446,-1677,0,0,0,,1.0,-16.0
3538,M,Y,Y,0,270000.0,Working,House / apartment,-9122,-1751,0,0,0,Sales staff,1.0,-26.0
3539,F,N,Y,2,180000.0,Working,House / apartment,-13361,-6586,1,0,0,Core staff,4.0,-18.0
3540,M,Y,Y,0,135000.0,Pensioner,House / apartment,-23211,365243,0,0,0,,2.0,-32.0
3541,F,N,Y,0,292500.0,Pensioner,House / apartment,-21076,365243,0,0,0,,2.0,-17.0
3542,M,N,Y,1,180000.0,Working,With parents,-15670,-1654,0,0,0,Cooking staff,3.0,-35.0
3543,F,N,Y,0,202500.0,Pensioner,House / apartment,-21871,365243,0,0,0,,1.0,-16.0
3544,M,Y,Y,0,225000.0,Pensioner,House / apartment,-18443,365243,0,0,0,,2.0,-34.0
3545,F,N,Y,1,315000.0,Commercial associate,Municipal apartment,-18794,-1842,0,1,0,Cleaning staff,2.0,-31.0
3546,M,Y,N,1,99000.0,Pensioner,House / apartment,-18692,365243,0,1,0,,3.0,-50.0
3547,M,Y,Y,0,202500.0,Working,House / apartment,-10763,-302,0,0,0,Sales staff,1.0,0.0
3548,F,Y,N,0,135000.0,Working,House / apartment,-15468,-4834,0,0,1,,2.0,-10.0
3549,F,N,N,0,135000.0,Pensioner,House / apartment,-21363,365243,0,0,0,,2.0,-7.0
3550,M,Y,Y,0,116653.5,Commercial associate,House / apartment,-9270,-1661,1,1,0,Laborers,2.0,-15.0
3551,F,N,N,0,67500.0,Working,House / apartment,-15563,-309,0,0,0,Cooking staff,2.0,-50.0
3552,F,Y,Y,1,112500.0,Commercial associate,House / apartment,-11660,-807,0,0,0,Core staff,3.0,-10.0
3553,F,N,Y,0,360000.0,Commercial associate,House / apartment,-11089,-3902,0,1,0,Core staff,2.0,-59.0
3554,M,N,Y,0,247500.0,State servant,House / apartment,-13570,-5364,0,0,0,Medicine staff,2.0,-16.0
3555,F,N,Y,0,135000.0,Working,House / apartment,-22751,-4219,1,1,0,Secretaries,1.0,-27.0
3556,F,N,N,0,135000.0,Working,House / apartment,-16395,-7371,1,0,0,Managers,2.0,-14.0
3557,F,N,Y,1,112500.0,Working,House / apartment,-13541,-3427,0,0,0,Core staff,3.0,-19.0
3558,M,Y,Y,0,135000.0,Working,House / apartment,-9662,-831,0,0,0,Drivers,1.0,-51.0
3559,F,N,N,0,225000.0,Working,House / apartment,-20657,-5637,0,0,0,Accountants,1.0,-2.0
3560,M,N,Y,0,180000.0,Working,House / apartment,-15290,-1253,1,0,0,Security staff,1.0,-53.0
3561,F,N,N,0,198000.0,Commercial associate,House / apartment,-18813,-9748,0,0,0,Laborers,2.0,-35.0
3562,F,N,Y,0,180000.0,Working,House / apartment,-17533,-3776,0,0,0,Medicine staff,1.0,-28.0
3563,F,N,N,0,270000.0,Working,House / apartment,-16723,-712,1,0,0,Managers,2.0,-44.0
3564,M,Y,Y,0,225000.0,Working,House / apartment,-14496,-808,0,1,0,,2.0,-4.0
3565,F,N,Y,2,112500.0,Commercial associate,House / apartment,-12563,-1025,0,0,0,Cooking staff,4.0,-10.0
3566,M,N,Y,1,225000.0,State servant,House / apartment,-9183,-2054,0,0,0,Drivers,3.0,-11.0
3567,F,Y,Y,0,315000.0,Pensioner,House / apartment,-21012,365243,0,0,0,,1.0,-19.0
3568,M,Y,Y,0,360000.0,Working,House / apartment,-22111,-3854,0,0,0,Managers,2.0,-14.0
3569,M,Y,Y,0,225000.0,Commercial associate,House / apartment,-9220,-1473,0,0,0,Core staff,1.0,-47.0
3570,M,Y,N,0,180000.0,Working,House / apartment,-9278,-1113,0,0,0,,1.0,-27.0
3571,F,N,Y,0,157500.0,Commercial associate,House / apartment,-17211,-3232,0,0,0,Laborers,2.0,-43.0
3572,F,Y,Y,0,99000.0,Pensioner,House / apartment,-18352,365243,0,1,0,,1.0,-60.0
3573,F,Y,Y,0,180000.0,Commercial associate,House / apartment,-13254,-2542,0,1,0,,2.0,-51.0
3574,M,N,N,1,180000.0,Working,House / apartment,-15997,-1892,1,1,0,Laborers,3.0,-48.0
3575,F,N,Y,0,90000.0,Pensioner,House / apartment,-20032,365243,0,0,0,,2.0,-8.0
3576,M,Y,Y,2,180000.0,Working,House / apartment,-14618,-4979,1,0,0,Laborers,4.0,-15.0
3577,F,N,Y,2,270000.0,Commercial associate,House / apartment,-11008,-3697,0,0,0,Laborers,4.0,-38.0
3578,F,N,Y,1,99000.0,Commercial associate,House / apartment,-14798,-3251,1,1,0,Laborers,3.0,-32.0
3579,F,N,N,0,94500.0,Working,House / apartment,-18713,-3627,1,0,0,,2.0,-8.0
3580,M,Y,Y,1,315000.0,Working,House / apartment,-17543,-2851,0,1,0,Drivers,3.0,-19.0
3581,M,Y,Y,0,315000.0,Working,House / apartment,-14170,-921,0,0,0,Managers,2.0,-29.0
3582,F,N,N,0,225000.0,Pensioner,House / apartment,-22543,365243,0,0,0,,2.0,-12.0
3583,F,Y,Y,0,90000.0,Working,House / apartment,-13483,-5345,0,0,0,Laborers,2.0,-25.0
3584,M,Y,N,0,315000.0,Commercial associate,House / apartment,-13937,-4853,1,1,0,Managers,2.0,-6.0
3585,M,Y,Y,2,157500.0,Pensioner,House / apartment,-16957,365243,0,0,0,,4.0,-55.0
3586,M,N,N,0,180000.0,State servant,With parents,-9980,-1534,0,0,0,Drivers,2.0,-24.0
3587,M,Y,Y,0,180000.0,Pensioner,House / apartment,-22426,365243,0,0,0,,1.0,-5.0
3588,F,Y,N,0,180000.0,Pensioner,House / apartment,-20395,365243,0,1,0,,1.0,-21.0
3589,F,Y,N,0,144000.0,Commercial associate,House / apartment,-16830,-3458,0,0,0,,2.0,-9.0
3590,F,N,Y,0,103500.0,Working,House / apartment,-17461,-2134,0,0,0,Sales staff,1.0,-40.0
3591,F,N,Y,0,288000.0,Working,House / apartment,-19863,-4451,0,0,0,,2.0,-15.0
3592,F,N,Y,2,85500.0,Working,House / apartment,-12160,-458,0,0,0,,4.0,-48.0
3593,F,N,Y,1,157500.0,State servant,House / apartment,-16425,-2842,0,0,0,Managers,3.0,-42.0
3594,F,N,N,0,135000.0,Working,House / apartment,-10675,-1284,1,0,0,Core staff,2.0,-34.0
3595,M,Y,N,0,225000.0,Working,House / apartment,-9479,-1143,0,0,0,Laborers,2.0,-9.0
3596,F,N,Y,0,157500.0,Pensioner,House / apartment,-21497,365243,0,0,0,,1.0,-9.0
3597,F,N,N,0,112500.0,Working,With parents,-19723,-1191,0,1,0,,2.0,-14.0
3598,M,Y,Y,0,112500.0,Working,House / apartment,-18491,-473,1,0,0,Laborers,2.0,-37.0
3599,F,N,N,0,157500.0,Working,House / apartment,-12870,-515,0,0,1,Sales staff,1.0,-1.0
3600,F,Y,Y,2,270000.0,Working,House / apartment,-12745,-525,0,0,1,Core staff,4.0,-24.0
3601,F,N,N,0,990000.0,State servant,House / apartment,-22635,-2357,1,1,0,Core staff,2.0,-2.0
3602,F,Y,Y,0,135000.0,Working,House / apartment,-13474,-2894,1,1,0,Accountants,2.0,-25.0
3603,M,Y,Y,1,360000.0,Commercial associate,House / apartment,-14967,-2403,0,1,0,Managers,3.0,-10.0
3604,F,N,N,1,90000.0,Working,With parents,-10092,-976,0,0,0,,3.0,-11.0
3605,M,Y,Y,0,405000.0,State servant,House / apartment,-17309,-3500,0,0,0,,2.0,-33.0
3606,M,N,N,0,112500.0,Working,With parents,-8547,-990,1,0,0,Laborers,2.0,-2.0
3607,F,N,N,2,180000.0,State servant,Office apartment,-11176,-2904,1,0,0,Laborers,4.0,-29.0
3608,F,Y,N,1,225000.0,Working,With parents,-10959,-1881,0,0,0,Secretaries,3.0,-35.0
3609,F,N,Y,0,180000.0,Commercial associate,House / apartment,-10572,-137,0,0,0,,2.0,-4.0
3610,M,Y,N,0,225000.0,Working,House / apartment,-9479,-1143,0,0,0,Laborers,2.0,-7.0
3611,F,N,Y,3,202500.0,State servant,House / apartment,-12904,-1404,0,1,0,Core staff,5.0,-56.0
3612,F,N,Y,0,202500.0,Working,House / apartment,-22318,-565,0,0,0,Cleaning staff,2.0,-4.0
3613,M,Y,Y,1,135000.0,Commercial associate,House / apartment,-12190,-691,0,0,0,Laborers,3.0,-8.0
3614,F,N,N,0,112500.0,Working,With parents,-11061,-157,1,1,0,High skill tech staff,1.0,-28.0
3615,F,N,Y,0,225000.0,Commercial associate,House / apartment,-19777,-6835,1,1,0,Core staff,1.0,-22.0
3616,F,N,Y,0,202500.0,Working,House / apartment,-19444,-2832,0,0,0,,2.0,-12.0
3617,M,Y,Y,2,180000.0,Working,House / apartment,-13174,-2477,0,0,0,Managers,4.0,-47.0
3618,M,Y,Y,0,99000.0,Working,Rented apartment,-9928,-1531,0,0,0,Managers,2.0,-33.0
3619,F,N,N,1,108000.0,Commercial associate,House / apartment,-15150,-719,0,0,0,Medicine staff,3.0,-47.0
3620,M,N,Y,1,270000.0,Commercial associate,House / apartment,-15646,-4614,0,0,0,Laborers,3.0,-11.0
3621,M,Y,N,0,157500.0,Working,With parents,-9124,-960,1,0,0,Drivers,2.0,-19.0
3622,F,N,Y,0,112500.0,Commercial associate,House / apartment,-17993,-555,0,0,0,Security staff,1.0,-24.0
3623,F,N,Y,0,157500.0,Pensioner,House / apartment,-20681,365243,0,0,0,,1.0,-25.0
3624,F,N,Y,0,123750.0,Working,House / apartment,-16686,-599,0,0,0,Cleaning staff,2.0,-24.0
3625,M,Y,Y,1,157500.0,Working,House / apartment,-15239,-2538,0,1,0,Drivers,3.0,-28.0
3626,M,Y,Y,1,225000.0,State servant,House / apartment,-11429,-3165,1,0,0,,3.0,-41.0
3627,M,Y,Y,0,315000.0,Pensioner,House / apartment,-19644,365243,0,0,0,,2.0,-11.0
3628,M,Y,Y,0,207000.0,Pensioner,House / apartment,-24312,365243,0,0,0,,2.0,-30.0
3629,F,Y,Y,1,270000.0,Commercial associate,House / apartment,-12155,-979,0,0,0,Sales staff,3.0,-35.0
3630,M,Y,Y,0,135000.0,Commercial associate,House / apartment,-10612,-978,0,0,0,Laborers,1.0,-24.0
3631,M,N,Y,0,108000.0,Working,House / apartment,-15997,-7341,1,1,0,Laborers,2.0,-24.0
3632,F,Y,Y,2,126000.0,Working,House / apartment,-11432,-129,0,1,0,Core staff,4.0,-12.0
3633,F,N,N,1,135000.0,Working,House / apartment,-10151,-1138,0,0,0,Laborers,3.0,-34.0
3634,M,Y,N,1,292500.0,Working,House / apartment,-12692,-1056,0,1,0,Laborers,2.0,-20.0
3635,F,N,N,0,135000.0,Working,House / apartment,-13817,-2775,0,0,0,Sales staff,2.0,-24.0
3636,F,N,Y,0,787500.0,State servant,House / apartment,-17203,-1431,0,0,1,Managers,2.0,-7.0
3637,M,Y,Y,0,225000.0,Working,House / apartment,-16086,-320,0,1,0,Laborers,2.0,-6.0
3638,F,N,Y,0,292500.0,Commercial associate,House / apartment,-14522,-1552,0,0,0,Laborers,2.0,-39.0
3639,F,N,N,0,103500.0,Pensioner,House / apartment,-22734,365243,0,0,0,,2.0,-52.0
3640,F,N,Y,0,112500.0,Pensioner,House / apartment,-22160,365243,0,1,0,,1.0,-53.0
3641,F,N,Y,0,99000.0,Working,House / apartment,-15590,-890,0,0,0,Sales staff,2.0,-27.0
3642,M,Y,Y,1,270000.0,Pensioner,House / apartment,-15493,365243,0,0,0,,3.0,-39.0
3643,F,N,Y,0,148500.0,Pensioner,House / apartment,-20846,365243,0,0,0,,2.0,-51.0
3644,F,N,N,0,74250.0,State servant,House / apartment,-19931,-3141,1,0,0,Core staff,2.0,-22.0
3645,F,N,Y,0,139500.0,State servant,House / apartment,-21017,-895,1,1,0,,2.0,-15.0
3646,F,N,Y,1,157500.0,State servant,House / apartment,-12676,-1350,0,0,0,Waiters/barmen staff,2.0,-27.0
3647,F,Y,Y,0,360000.0,Commercial associate,Municipal apartment,-16477,-2997,0,0,0,Accountants,2.0,-59.0
3648,F,Y,Y,1,315000.0,State servant,House / apartment,-18233,-425,0,1,1,,2.0,-43.0
3649,M,Y,Y,0,270000.0,Commercial associate,House / apartment,-17968,-895,1,0,0,Laborers,2.0,-49.0
3650,F,N,N,0,202500.0,State servant,With parents,-14562,-1287,0,1,0,Core staff,2.0,-19.0
3651,F,Y,Y,0,90000.0,Commercial associate,House / apartment,-11160,-1904,0,0,0,Sales staff,2.0,-54.0
3652,M,N,N,1,202500.0,Working,House / apartment,-10512,-523,0,0,0,,3.0,-59.0
3653,F,N,Y,1,225000.0,Commercial associate,Municipal apartment,-13933,-3625,0,0,0,Accountants,3.0,-48.0
3654,F,N,Y,0,112500.0,Pensioner,House / apartment,-23978,365243,0,0,0,,2.0,-12.0
3655,F,N,Y,0,193500.0,Working,House / apartment,-21029,-7280,0,0,0,High skill tech staff,2.0,-21.0
3656,M,N,N,0,202500.0,Commercial associate,With parents,-8489,-921,1,0,0,,1.0,-25.0
3657,F,Y,N,0,315000.0,Commercial associate,House / apartment,-13557,-586,1,1,0,,2.0,-26.0
3658,F,N,Y,0,189000.0,Working,House / apartment,-15787,-2188,1,0,0,Accountants,2.0,-37.0
3659,F,N,Y,2,72000.0,Working,House / apartment,-15368,-5496,1,1,0,Medicine staff,4.0,-52.0
3660,F,Y,Y,1,135000.0,Working,House / apartment,-16613,-3235,0,0,0,,3.0,-55.0
3661,F,Y,Y,2,108000.0,Working,House / apartment,-14276,-1905,0,0,0,Laborers,4.0,-27.0
3662,M,Y,Y,0,225000.0,Working,House / apartment,-19293,-2990,0,0,0,Laborers,2.0,-13.0
3663,M,Y,Y,0,135000.0,Working,House / apartment,-10638,-477,0,1,0,Laborers,2.0,-38.0
3664,F,N,Y,0,157500.0,Working,House / apartment,-15488,-2453,0,0,0,Laborers,2.0,-27.0
3665,F,Y,N,0,180000.0,Working,House / apartment,-19317,-11542,0,0,0,Medicine staff,2.0,-55.0
3666,M,N,N,0,157500.0,Commercial associate,House / apartment,-11888,-295,0,0,0,Security staff,2.0,-24.0
3667,M,Y,Y,1,180000.0,Working,House / apartment,-16809,-3327,0,0,0,Managers,3.0,-12.0
3668,M,N,N,2,225000.0,Working,House / apartment,-16768,-3088,1,0,0,Laborers,4.0,-46.0
3669,M,Y,Y,0,180000.0,State servant,House / apartment,-9570,-2620,0,0,0,Drivers,2.0,-20.0
3670,F,N,Y,0,112500.0,Pensioner,House / apartment,-22319,365243,0,0,0,,2.0,-37.0
3671,M,Y,N,0,270000.0,Commercial associate,House / apartment,-16197,-3000,0,0,0,Drivers,2.0,-21.0
3672,M,N,Y,0,225000.0,State servant,House / apartment,-12394,-381,0,0,0,Laborers,2.0,-51.0
3673,F,N,Y,0,135000.0,Working,House / apartment,-18543,-1890,1,1,0,Managers,2.0,-2.0
3674,M,Y,Y,0,83250.0,Working,House / apartment,-18700,-7536,0,0,0,,2.0,-46.0
3675,F,N,Y,2,112500.0,Working,House / apartment,-12022,-2317,0,0,0,Laborers,4.0,-57.0
3676,F,N,Y,0,67500.0,Pensioner,House / apartment,-19238,365243,0,0,0,,2.0,-46.0
